review,analysis,k,early_effect,final_effect,decay_ratio,direction_change,trajectory_cv,max_cumulative_shift,studies_per_year,span_years,mafi_score,mafi_class,I2,estimate_re,significant,fpi_k_component,fpi_bias_component,fpi_stability_component,fpi_decay_component,fpi_score,fpi_class
CD000028_pub4_data.rds,1::1.0,12,-0.060016,-0.19015,3.168305,False,0.4126,0.093676,0.521739,23.0,0.0339,Robust,16.14,-0.124756,True,0.3894,0.9661,0.7937,0,55.68,Moderate
CD000028_pub4_data.rds,1::2.0,10,1.404387,0.159884,0.113846,False,1.2174,0.679978,0.769231,13.0,0.0339,Robust,16.14,-0.124756,True,0.3208,0.9661,0.3913,0.5569,54.7,Moderate
CD000028_pub4_data.rds,1::nan,12,0.198748,-0.094319,0.474563,True,3.464,0.171015,0.413793,29.0,0.0339,Robust,16.14,-0.124756,True,0.3894,0.9661,0,0.7373,50.58,Moderate
CD000028_pub4_data.rds,2::1.0,21,-0.278506,-0.427394,1.534596,False,0.1734,0.074544,0.84,25.0,0.0312,Robust,13.39,-0.377704,True,0.7109,0.9688,0.9133,0.7327,83.03,Stable
CD000028_pub4_data.rds,2::2.0,18,-0.109558,-0.271749,2.480423,False,0.4282,0.127217,1.0,18.0,0.0312,Robust,13.39,-0.377704,True,0.6106,0.9688,0.7859,0.2598,67.38,Moderate
CD000028_pub4_data.rds,3::1.0,11,-0.372932,-0.445631,1.194939,False,0.1046,0.134716,0.578947,19.0,0.0284,Robust,12.32,-0.41453,True,0.3543,0.9716,0.9477,0.9025,76.66,Stable
CD000028_pub4_data.rds,3::2.0,9,-1.654167,-0.56369,0.34077,False,0.4472,0.779047,0.692308,13.0,0.0284,Robust,12.32,-0.41453,True,0.2891,0.9716,0.7764,0.6704,65.78,Moderate
CD000028_pub4_data.rds,3::nan,14,-0.674839,-0.383038,0.5676,False,0.2044,0.174193,0.482759,29.0,0.0284,Robust,12.32,-0.41453,True,0.4626,0.9716,0.8978,0.7838,76.29,Stable
CD000028_pub4_data.rds,4::1.0,10,-0.135175,-0.272303,2.014438,False,0.2219,0.082369,1.25,8.0,0.0025,Robust,0.0,-0.339612,True,0.3208,0.9975,0.8891,0.4928,66.64,Moderate
CD000028_pub4_data.rds,4::2.0,8,0.428217,-0.170535,0.398244,True,1.6848,0.728699,1.142857,7.0,0.0025,Robust,0.0,-0.339612,True,0.2592,0.9975,0.1576,0.6991,50.64,Moderate
CD000028_pub4_data.rds,4::nan,12,-0.387335,-0.450618,1.163379,False,0.0928,0.062388,0.413793,29.0,0.0025,Robust,0.0,-0.339612,True,0.3894,0.9975,0.9536,0.9183,78.83,Stable
CD000028_pub4_data.rds,5::nan,12,-0.241132,0.018085,0.074999,True,1.6072,0.428645,0.521739,23.0,0.3097,Moderate Fragility,72.14,-0.140193,False,0.3894,0.6903,0.1964,0.5375,44.6,Volatile
CD000143_pub2_data.rds,1::overall,47,-3.563478,-0.723199,0.202948,False,0.7337,0.749347,2.043478,23.0,0.1389,Robust,66.44,-0.777236,True,0.9918,0.8611,0.6331,0.6015,79.14,Stable
CD000143_pub2_data.rds,2::overall,23,-1.845827,-0.177504,0.096165,False,0.8348,0.736542,1.0,23.0,0.1713,Low Fragility,50.65,-0.240631,False,0.7685,0.8287,0.5826,0.5481,69.3,Moderate
CD000219_pub5_data.rds,1::overall,27,0.150835,-0.388865,2.57808,True,0.3362,0.361089,0.509434,53.0,0.0497,Robust,22.58,-0.391475,True,0.8581,0.9503,0.8319,0.211,74.52,Stable
CD000219_pub5_data.rds,2::overall,11,0.684983,0.578195,0.844101,False,0.1837,0.261765,0.275,40.0,0.2218,Low Fragility,35.5,0.61469,True,0.3543,0.7782,0.9082,0.9221,71.23,Stable
CD000219_pub5_data.rds,3::overall,14,0.005994,-0.264665,44.155243,True,0.4208,0.305764,0.424242,33.0,0.2157,Low Fragility,42.49,-0.24433,True,0.4626,0.7843,0.7896,0,53.22,Moderate
CD000219_pub5_data.rds,4::overall,7,-0.60827,-0.741655,1.219285,False,0.1462,0.216759,0.175,40.0,0.4313,Moderate Fragility,0.0,-0.741655,True,0.2315,0.5687,0.9269,0.8904,62.14,Moderate
CD000219_pub5_data.rds,5::overall,6,-0.517358,-0.269748,0.521396,False,0.3177,0.283067,0.15,40.0,0.4367,Moderate Fragility,69.94,-0.43543,False,0.2059,0.5633,0.8412,0.7607,56.5,Moderate
CD000219_pub5_data.rds,6::overall,6,-0.054478,-0.09906,1.818327,False,0.6239,0.09007,0.2,30.0,0.2733,Low Fragility,4.69,-0.107288,False,0.2059,0.7267,0.6881,0.5908,53.36,Moderate
CD000478_pub5_data.rds,1::overall,32,-0.449532,-0.851654,1.894536,False,0.1285,0.075817,0.653061,49.0,0.0077,Robust,0.0,-0.851655,True,0.9276,0.9923,0.9357,0.5527,87.08,Stable
CD000478_pub5_data.rds,2::overall,6,0.795771,0.469377,0.589839,False,0.1872,0.282826,0.2,30.0,0.2524,Low Fragility,0.0,0.469377,False,0.2059,0.7476,0.9064,0.7949,63.42,Moderate
CD000547_pub3_data.rds,10::overall,43,-0.427335,0.374346,0.876003,True,21.1273,0.407501,1.653846,26.0,0.1809,Low Fragility,82.3,0.596089,True,0.9852,0.8191,0,0.938,68.8,Moderate
CD000547_pub3_data.rds,1::overall,28,0.222234,0.065589,0.295137,False,0.4073,0.110689,1.0,28.0,0.0036,Robust,0.0,0.065589,False,0.8754,0.9964,0.7964,0.6476,84.03,Stable
CD000547_pub3_data.rds,3::overall,24,-0.08851,-0.007209,0.081444,False,1.2005,0.189717,0.75,32.0,0.0711,Robust,0.0,-0.007209,False,0.7941,0.9289,0.3998,0.5407,67.85,Moderate
CD000547_pub3_data.rds,4::overall,9,-0.351802,2.56126,7.280402,True,1.4356,2.097288,0.290323,31.0,0.3953,Moderate Fragility,77.93,1.17189,False,0.2891,0.6047,0.2822,0,30.84,Volatile
CD000547_pub3_data.rds,5::overall,25,-0.06781,-0.430564,6.349558,False,0.2989,0.276246,1.086957,23.0,0.0409,Robust,0.0,-0.430564,True,0.8176,0.9591,0.8506,0,69.77,Moderate
CD000547_pub3_data.rds,6::overall,17,-0.498733,-0.733435,1.470597,False,0.1131,0.244323,0.607143,28.0,0.0811,Robust,8.85,-0.749173,True,0.5744,0.9189,0.9435,0.7647,79.09,Stable
CD000547_pub3_data.rds,7::overall,63,0.257687,0.49356,1.915349,False,0.2274,0.529419,1.96875,32.0,0.06,Robust,25.65,0.381512,True,0.9993,0.94,0.8863,0.5423,86.48,Stable
CD000547_pub3_data.rds,8::overall,57,2.291705,0.538934,0.235167,False,0.6233,0.465453,1.83871,31.0,0.1569,Low Fragility,74.03,0.878605,True,0.9982,0.8431,0.6884,0.6176,80.58,Stable
