dataset_name,analysis_key,k,total_n,p_control,outcome_type,I2,orig_estimate,orig_p,tf_estimate,tf_p,pet_peese_estimate,bias_detected,discordant
CD000028_pub4_data,1::overall,13,25932,0.109519261381726,binary,0,-0.115253952293261,0.00663156611735662,-0.115253952293261,0.00663156611735662,-0.172042649978163,FALSE,FALSE
CD000028_pub4_data,1::overall,13,25932,0.109519261381726,binary,3.71852372209689,-0.0802489721211665,0.0257695368067835,-0.0802489721211665,0.0257695368067835,-0.0887138727962787,FALSE,FALSE
CD000028_pub4_data,1::overall,13,25932,0.109519261381726,binary,0,-0.00944663282415497,0.00573715829554067,-0.00944663282415497,0.00573715829554067,-0.0123050530283248,FALSE,FALSE
CD000028_pub4_data,2::1,22,53053,0.0737612830744199,binary,21.575602181267,-0.43281307932279,1.03017109630662e-18,-0.43281307932279,1.03017109630662e-18,-0.394670743567969,FALSE,FALSE
CD000028_pub4_data,2::1,22,53053,0.0737612830744199,binary,22.3022162584916,-0.382670655728911,3.90949579807883e-18,-0.382670655728911,3.90949579807883e-18,-0.333873187152027,FALSE,FALSE
CD000028_pub4_data,2::1,22,53053,0.0737612830744199,binary,91.7705826425733,-0.0215566238944025,9.47528448104472e-06,-0.0215566238944025,9.47528448104472e-06,-0.0185637836297501,TRUE,FALSE
CD000028_pub4_data,2::1,22,53053,0.0737612830744199,binary,21.4489890233605,-0.43194595979513,2.97111363675289e-19,-0.43194595979513,2.97111363675289e-19,-0.391217583634865,FALSE,FALSE
CD000028_pub4_data,2::1,22,53053,0.0737612830744199,binary,21.575602181267,-0.43281307932279,1.03017109630662e-18,-0.43281307932279,1.03017109630662e-18,-0.394670743567969,FALSE,FALSE
CD000028_pub4_data,2::2,20,32200,0.0529724876547169,binary,0,-0.290602169373213,1.06277744722504e-07,-0.281611190222012,1.95283831555135e-07,-0.27117357617118,FALSE,FALSE
CD000028_pub4_data,2::2,20,32200,0.0529724876547169,binary,0,-0.265095461935156,1.01478716112935e-07,-0.257139304774267,1.88494893774579e-07,-0.251207441846826,FALSE,FALSE
CD000028_pub4_data,2::2,20,32200,0.0529724876547169,binary,12.09041095601,-0.00732057139193174,0.00058508141014157,-0.00307187780635523,0.0997624040209796,-0.00622224914361993,TRUE,FALSE
CD000028_pub4_data,2::2,20,32200,0.0529724876547169,binary,0,-0.290813395313992,8.12899985152212e-08,-0.279388345776136,1.704015939471e-07,-0.274137804728269,FALSE,FALSE
CD000028_pub4_data,2::2,20,32200,0.0529724876547169,binary,0,-0.290602169373213,1.06277744722504e-07,-0.281611190222012,1.95283831555135e-07,-0.27117357617118,FALSE,FALSE
CD000028_pub4_data,3::overall,15,26747,0.135631120363945,binary,26.7396907354952,-0.383482254499255,1.51423875295179e-13,-0.383482254499255,1.51423875295179e-13,-0.344895372496657,FALSE,FALSE
CD000028_pub4_data,3::overall,15,26747,0.135631120363945,binary,57.6968683500557,-0.29898431399735,5.9196942495912e-08,-0.28412247217043,2.99682404591951e-07,-0.174242919635157,FALSE,FALSE
CD000028_pub4_data,3::overall,15,26747,0.135631120363945,binary,66.3450405033842,-0.0375550432326577,1.10028368535862e-06,-0.0375550432326577,1.10028368535862e-06,-0.0296999578120317,TRUE,FALSE
CD000028_pub4_data,4::overall,13,26042,0.0522269773339674,binary,0,-0.436235267694547,4.43474025500755e-12,-0.412443070608825,1.69382837362324e-11,-0.297175118000981,FALSE,FALSE
CD000028_pub4_data,4::overall,13,26042,0.0522269773339674,binary,0,-0.410776935182842,5.84863343414073e-12,-0.398562666035382,1.40418795011156e-11,-0.277642528812429,FALSE,FALSE
CD000028_pub4_data,4::overall,13,26042,0.0522269773339674,binary,15.5845380079204,-0.0158128991552414,1.15787245954481e-08,-0.0117577826762958,6.50168727491755e-05,-0.0137997209816429,TRUE,FALSE
CD000028_pub4_data,4::overall,13,26042,0.0522269773339674,binary,0,-0.433443328445935,2.63322928336477e-12,-0.419936783317738,7.52538327473152e-12,-0.29066037585635,FALSE,FALSE
CD000028_pub4_data,5::overall,13,29846,0.0510568213011255,binary,72.1448911694065,-0.140192643710262,0.26184687258536,-0.140192643710262,0.26184687258536,0.0410598507334663,FALSE,TRUE
CD000028_pub4_data,5::overall,13,29846,0.0510568213011255,binary,71.452323236289,-0.133542068333404,0.250406467129414,-0.133542068333404,0.250406467129414,0.0379322016033126,FALSE,TRUE
CD000028_pub4_data,5::overall,13,29846,0.0510568213011255,binary,89.3994284180075,-0.00424396751535434,0.560769020829021,-0.00424396751535434,0.560769020829021,0.00312624800193564,FALSE,TRUE
CD000028_pub4_data,5::overall,13,29846,0.0510568213011255,binary,72.4180082639894,-0.146508089874607,0.235484325700612,-0.146508089874607,0.235484325700612,0.034303655845528,FALSE,TRUE
CD000028_pub4_data,6::overall,4,11310,0.0539313600871618,binary,96.7491477942095,0.805260630807161,0.092091904138427,0.805260630807161,0.092091904138427,1.29014211280941,FALSE,FALSE
CD000028_pub4_data,6::overall,4,11310,0.0539313600871618,binary,96.4462426584599,0.734545634518442,0.0852807843614422,0.734545634518442,0.0852807843614422,1.14429220167987,FALSE,FALSE
CD000028_pub4_data,6::overall,4,11310,0.0539313600871618,binary,98.4246393414549,0.0652299173659433,0.132822410471757,0.0652299173659433,0.132822410471757,0.314910147246991,FALSE,FALSE
CD000028_pub4_data,1::1,12,27823,0.0852753069175917,binary,48.8904442604739,-0.23965120466964,0.00101836552134933,-0.106581490877854,0.237235177594723,-0.203028521103012,FALSE,FALSE
CD000028_pub4_data,1::1,12,27823,0.0852753069175917,binary,51.0017408957909,-0.214203961242086,0.00133100808040439,-0.0925244226588563,0.274547496223635,-0.157214050496031,TRUE,FALSE
CD000028_pub4_data,1::1,12,27823,0.0852753069175917,binary,0,-0.0146126549039716,1.34503650046484e-07,-0.0124038889783333,0.000103943623361526,-0.0133600377287206,FALSE,FALSE
CD000028_pub4_data,1::1,12,27823,0.0852753069175917,binary,49.8133567888202,-0.241309695066166,0.0009534962748607,-0.106407786754825,0.236052660958327,-0.0735735576406328,FALSE,FALSE
CD000028_pub4_data,1::2,11,7877,0.151874310915105,binary,37.1628323630141,0.0932493150659765,0.373861992736013,0.0747897231789078,0.466248750905805,0.0335224319177889,TRUE,FALSE
CD000028_pub4_data,1::2,11,7877,0.151874310915105,binary,36.7549487620024,0.0588018310499435,0.414891266741099,0.0548725516618168,0.445149641228522,-0.0649881350996854,FALSE,TRUE
CD000028_pub4_data,1::2,11,7877,0.151874310915105,binary,54.0154824971052,0.0207324239670654,0.14589904592336,-0.00869752680526614,0.595525717536955,0.00366309502051705,TRUE,FALSE
CD000028_pub4_data,1::2,11,7877,0.151874310915105,binary,37.1628323630141,0.0932493150659765,0.373861992736013,0.0747897231789078,0.466248750905805,0.0335224319177889,TRUE,FALSE
CD000028_pub4_data,3::1,11,27290,0.0478368448676614,binary,0,-0.445631027006216,5.80900576930479e-12,-0.393116791946564,1.70750714334366e-10,-0.3291599337861,FALSE,FALSE
CD000028_pub4_data,3::1,11,27290,0.0478368448676614,binary,0,-0.41909987453912,9.13650877598714e-12,-0.370456078535558,1.72697412859636e-09,-0.295201404911345,FALSE,FALSE
CD000028_pub4_data,3::1,11,27290,0.0478368448676614,binary,0,-0.0145812630589455,6.6016201330111e-12,-0.0133423861274655,1.19401720368748e-10,-0.00935475221964008,FALSE,FALSE
CD000028_pub4_data,3::1,11,27290,0.0478368448676614,binary,0,-0.443694991488925,2.17380434900534e-12,-0.443694991488925,2.17380434900534e-12,-0.341301514759719,FALSE,FALSE
CD000028_pub4_data,3::2,10,7722,0.06152977702512,binary,0,-0.484004721823288,7.35773554397847e-06,-0.44516027373413,2.84494391503814e-05,-0.199822553483702,FALSE,FALSE
CD000028_pub4_data,3::2,10,7722,0.06152977702512,binary,0,-0.456962192015419,6.22618584469e-06,-0.437708060734347,1.26702309383194e-05,-0.19265999570056,FALSE,FALSE
CD000028_pub4_data,3::2,10,7722,0.06152977702512,binary,28.77634675165,-0.0239438014057601,0.00258477848635632,-0.0227111019674234,0.00317013470981892,-0.0153233970504981,TRUE,FALSE
CD000028_pub4_data,3::2,10,7722,0.06152977702512,binary,1.08654968487202e-05,-0.481610739640431,7.15507672174923e-06,-0.463647942273338,1.41369524486671e-05,-0.385405115698013,FALSE,FALSE
CD000028_pub4_data,3::2,10,7722,0.06152977702512,binary,0,-0.484004721823288,7.35773554397847e-06,-0.44516027373413,2.84494391503814e-05,-0.199822553483702,FALSE,FALSE
CD000028_pub4_data,4::1,10,27090,0.048572291886992,binary,0,-0.272302613392712,8.41403655024726e-06,-0.272302613392712,8.41403655024726e-06,-0.27324349384062,FALSE,FALSE
CD000028_pub4_data,4::1,10,27090,0.048572291886992,binary,0,-0.257446962919672,9.52679335904901e-06,-0.257446962919672,9.52679335904901e-06,-0.247262063725435,FALSE,FALSE
CD000028_pub4_data,4::1,10,27090,0.048572291886992,binary,0,-0.010438174434811,5.21767113184139e-06,-0.010438174434811,5.21767113184139e-06,-0.0102559606528999,FALSE,FALSE
CD000028_pub4_data,4::1,10,27090,0.048572291886992,binary,0,-0.271531669613935,7.65343923235765e-06,-0.271531669613935,7.65343923235765e-06,-0.26785147272987,FALSE,FALSE
CD000028_pub4_data,4::2,9,6439,0.0298363811357074,binary,0,-0.186596517328826,0.230425430392318,-0.186596517328826,0.230425430392318,-0.274034822952584,FALSE,FALSE
CD000028_pub4_data,4::2,9,6439,0.0298363811357074,binary,0,-0.17387148492657,0.234313682570368,-0.17387148492657,0.234313682570368,-0.248719011152979,FALSE,FALSE
