review,analysis,k,span_years,studies_per_year,start_year,end_year
CD000028_pub4_data.rds,1::NA,12,29,0.413793103448276,1970,1999
CD000028_pub4_data.rds,2::1,21,25,0.84,1974,1999
CD000028_pub4_data.rds,2::2,18,18,1,1981,1999
CD000028_pub4_data.rds,3::NA,14,29,0.482758620689655,1970,1999
CD000028_pub4_data.rds,4::NA,12,29,0.413793103448276,1970,1999
CD000028_pub4_data.rds,5::NA,12,23,0.521739130434783,1970,1993
CD000028_pub4_data.rds,1::1,12,23,0.521739130434783,1970,1993
CD000028_pub4_data.rds,1::2,10,13,0.769230769230769,1986,1999
CD000028_pub4_data.rds,3::1,11,19,0.578947368421053,1974,1993
CD000028_pub4_data.rds,3::2,9,13,0.692307692307692,1986,1999
CD000028_pub4_data.rds,4::1,10,8,1.25,1985,1993
CD000028_pub4_data.rds,4::2,8,7,1.14285714285714,1986,1993
CD000143_pub2_data.rds,1::overall,47,23,2.04347826086957,1982,2005
CD000143_pub2_data.rds,2::overall,23,23,1,1982,2005
CD000143_pub2_data.rds,4::overall,5,9,0.555555555555556,1991,2000
CD000219_pub5_data.rds,1::overall,27,53,0.509433962264151,1968,2021
CD000219_pub5_data.rds,2::overall,11,40,0.275,1981,2021
CD000219_pub5_data.rds,3::overall,14,33,0.424242424242424,1981,2014
CD000219_pub5_data.rds,4::overall,7,40,0.175,1981,2021
CD000219_pub5_data.rds,5::overall,6,40,0.15,1981,2021
CD000219_pub5_data.rds,6::overall,6,30,0.2,1981,2011
CD000478_pub5_data.rds,1::overall,32,49,0.653061224489796,1974,2023
CD000478_pub5_data.rds,2::overall,6,30,0.2,1992,2022
CD000547_pub3_data.rds,1::overall,28,28,1,1989,2017
CD000547_pub3_data.rds,3::overall,24,32,0.75,1989,2021
CD000547_pub3_data.rds,5::overall,25,23,1.08695652173913,1989,2012
CD000547_pub3_data.rds,7::overall,63,32,1.96875,1989,2021
CD000547_pub3_data.rds,8::overall,57,31,1.83870967741935,1989,2020
CD000547_pub3_data.rds,6::overall,17,28,0.607142857142857,1993,2021
CD000547_pub3_data.rds,10::overall,43,26,1.65384615384615,1994,2020
CD000547_pub3_data.rds,4::overall,9,31,0.290322580645161,1989,2020
CD001155_pub3_data.rds,1::overall,175,22,7.95454545454545,1995,2017
CD001155_pub3_data.rds,2::overall,478,21,22.7619047619048,1996,2017
CD001155_pub3_data.rds,3::overall,75,23,3.26086956521739,1995,2018
CD001155_pub3_data.rds,4::overall,70,23,3.04347826086957,1995,2018
CD001155_pub3_data.rds,5::overall,32,19,1.68421052631579,1995,2014
CD001155_pub3_data.rds,6::overall,35,23,1.52173913043478,1995,2018
CD001155_pub3_data.rds,7::overall,18,23,0.782608695652174,1995,2018
CD001155_pub3_data.rds,8::overall,19,19,1,1995,2014
CD001155_pub3_data.rds,9::overall,9,18,0.5,1996,2014
CD001321_pub7_data.rds,1::overall,103,19,5.42105263157895,2001,2020
CD001321_pub7_data.rds,2::overall,30,19,1.57894736842105,2001,2020
CD001321_pub7_data.rds,3::overall,8,27,0.296296296296296,1994,2021
CD001321_pub7_data.rds,5::overall,10,19,0.526315789473684,2002,2021
CD001396_pub4_data.rds,1::overall,49,25,1.96,1995,2020
CD001396_pub4_data.rds,2::overall,56,24,2.33333333333333,1991,2015
CD001396_pub4_data.rds,3::overall,29,29,1,1991,2020
CD001396_pub4_data.rds,4::overall,23,17,1.35294117647059,1991,2008
CD001396_pub4_data.rds,5::overall,14,24,0.583333333333333,1991,2015
CD001396_pub4_data.rds,6::overall,21,20,1.05,1995,2015
CD001396_pub4_data.rds,7::overall,8,10,0.8,1995,2005
CD001396_pub4_data.rds,8::overall,14,20,0.7,1995,2015
CD001396_pub4_data.rds,9::overall,16,24,0.666666666666667,1991,2015
CD001396_pub4_data.rds,10::overall,16,20,0.8,1995,2015
CD001396_pub4_data.rds,11::overall,13,14,0.928571428571429,1991,2005
CD001396_pub4_data.rds,12::overall,19,20,0.95,1995,2015
CD001396_pub4_data.rds,13::overall,10,18,0.555555555555556,1995,2013
CD001396_pub4_data.rds,14::overall,26,20,1.3,1995,2015
CD001396_pub4_data.rds,15::overall,8,18,0.444444444444444,1997,2015
CD001396_pub4_data.rds,16::overall,7,20,0.35,1995,2015
CD001396_pub4_data.rds,18::overall,7,18,0.388888888888889,1997,2015
CD001396_pub4_data.rds,19::overall,30,24,1.25,1991,2015
CD001396_pub4_data.rds,20::overall,18,29,0.620689655172414,1991,2020
CD001431_pub6_data.rds,1::overall,437,25,17.48,1997,2022
CD001431_pub6_data.rds,2::overall,377,26,14.5,1996,2022
CD001431_pub6_data.rds,3::overall,353,25,14.12,1997,2022
CD001431_pub6_data.rds,4::overall,136,25,5.44,1997,2022
CD001431_pub6_data.rds,5::overall,116,26,4.46153846153846,1996,2022
CD001431_pub6_data.rds,6::overall,60,22,2.72727272727273,1999,2021
CD001533_pub7_data.rds,1::overall,43,44,0.977272727272727,1979,2023
CD001533_pub7_data.rds,2::overall,47,43,1.09302325581395,1979,2022
CD001533_pub7_data.rds,3::overall,30,44,0.681818181818182,1979,2023
CD001533_pub7_data.rds,4::overall,27,35,0.771428571428571,1988,2023
CD001533_pub7_data.rds,5::overall,68,34,2,1988,2022
CD001552_pub3_data.rds,1::overall,10,18,0.555555555555556,2002,2020
CD001552_pub3_data.rds,2::overall,13,56,0.232142857142857,1964,2020
CD001552_pub3_data.rds,3::overall,11,18,0.611111111111111,2002,2020
CD001552_pub3_data.rds,4::overall,8,16,0.5,2002,2018
CD001552_pub3_data.rds,5::overall,8,15,0.533333333333333,2002,2017
CD001552_pub3_data.rds,6::overall,8,16,0.5,2002,2018
CD001552_pub3_data.rds,7::overall,5,15,0.333333333333333,2002,2017
CD001552_pub3_data.rds,10::overall,6,53,0.113207547169811,1964,2017
CD001703_pub4_data.rds,1::overall,8,44,0.181818181818182,1976,2020
CD001703_pub4_data.rds,2::overall,16,30,0.533333333333333,1990,2020
CD001703_pub4_data.rds,4::overall,6,7,0.857142857142857,2009,2016
CD001703_pub4_data.rds,13::overall,6,7,0.857142857142857,2009,2016
CD001703_pub4_data.rds,25::overall,18,22,0.818181818181818,1998,2020
CD001703_pub4_data.rds,26::overall,10,30,0.333333333333333,1990,2020
CD001703_pub4_data.rds,27::overall,22,44,0.5,1976,2020
CD001797_pub4_data.rds,1::overall,8,19,0.421052631578947,1993,2012
CD001797_pub4_data.rds,3::overall,5,19,0.263157894736842,1993,2012
CD001797_pub4_data.rds,4::overall,7,19,0.368421052631579,1993,2012
CD001797_pub4_data.rds,6::overall,5,19,0.263157894736842,1993,2012
CD001837_pub4_data.rds,1::overall,110,32,3.4375,1990,2022
CD001837_pub4_data.rds,2::overall,20,31,0.645161290322581,1991,2022
CD001837_pub4_data.rds,3::overall,7,11,0.636363636363636,2011,2022
CD001837_pub4_data.rds,4::overall,7,10,0.7,2012,2022
CD001909_pub4_data.rds,1::overall,51,21,2.42857142857143,1989,2010
CD001909_pub4_data.rds,2::overall,25,21,1.19047619047619,1989,2010
CD001909_pub4_data.rds,3::overall,24,21,1.14285714285714,1989,2010
CD001909_pub4_data.rds,4::overall,12,18,0.666666666666667,1989,2007
CD001909_pub4_data.rds,5::overall,13,21,0.619047619047619,1989,2010
CD001909_pub4_data.rds,7::overall,5,17,0.294117647058824,1993,2010
CD001920_pub4_data.rds,1::overall,215,30,7.16666666666667,1992,2022
CD001920_pub4_data.rds,2::overall,273,30,9.1,1992,2022
CD001920_pub4_data.rds,3::overall,205,30,6.83333333333333,1992,2022
CD001920_pub4_data.rds,4::overall,242,30,8.06666666666667,1992,2022
CD001920_pub4_data.rds,5::overall,141,30,4.7,1992,2022
CD001920_pub4_data.rds,6::overall,166,30,5.53333333333333,1992,2022
CD001920_pub4_data.rds,7::overall,123,30,4.1,1992,2022
CD001920_pub4_data.rds,8::overall,15,27,0.555555555555556,1993,2020
CD001920_pub4_data.rds,9::overall,12,27,0.444444444444444,1993,2020
CD001920_pub4_data.rds,10::overall,16,28,0.571428571428571,1993,2021
CD002042_pub6_data.rds,1::NA,44,67,0.656716417910448,1956,2023
CD002042_pub6_data.rds,2::1,9,26,0.346153846153846,1992,2018
CD002042_pub6_data.rds,2::2,5,16,0.3125,2007,2023
CD002042_pub6_data.rds,2::3,12,22,0.545454545454545,1998,2020
CD002042_pub6_data.rds,2::4,7,22,0.318181818181818,1995,2017
CD002042_pub6_data.rds,3::1,27,31,0.870967741935484,1992,2023
CD002042_pub6_data.rds,3::2,6,19,0.315789473684211,1997,2016
CD002042_pub6_data.rds,4::1,16,25,0.64,1995,2020
CD002042_pub6_data.rds,4::2,19,65,0.292307692307692,1956,2021
CD002042_pub6_data.rds,5::NA,17,67,0.253731343283582,1956,2023
CD002042_pub6_data.rds,6::NA,33,37,0.891891891891892,1986,2023
CD002042_pub6_data.rds,7::1,17,25,0.68,1995,2020
CD002042_pub6_data.rds,7::2,17,35,0.485714285714286,1986,2021
CD002042_pub6_data.rds,8::1,5,8,0.625,2010,2018
CD002042_pub6_data.rds,8::3,8,22,0.363636363636364,1998,2020
CD002042_pub6_data.rds,8::4,7,22,0.318181818181818,1995,2017
CD002042_pub6_data.rds,9::1,5,8,0.625,2010,2018
CD002042_pub6_data.rds,9::3,8,22,0.363636363636364,1998,2020
CD002042_pub6_data.rds,9::4,7,22,0.318181818181818,1995,2017
CD002042_pub6_data.rds,10::1,20,14,1.42857142857143,2009,2023
CD002042_pub6_data.rds,10::2,13,32,0.40625,1986,2018
CD002042_pub6_data.rds,11::1,27,26,1.03846153846154,1997,2023
CD002042_pub6_data.rds,12::NA,25,37,0.675675675675676,1986,2023
CD002042_pub6_data.rds,13::NA,15,34,0.441176470588235,1986,2020
CD002042_pub6_data.rds,14::NA,8,13,0.615384615384615,2007,2020
CD002042_pub6_data.rds,15::1,6,10,0.6,2013,2023
CD002042_pub6_data.rds,15::3,8,10,0.8,2013,2023
CD002042_pub6_data.rds,17::NA,27,31,0.870967741935484,1992,2023
CD002042_pub6_data.rds,18::NA,17,31,0.548387096774194,1992,2023
CD002042_pub6_data.rds,19::NA,22,31,0.709677419354839,1992,2023
