Weight scheme,Mean FPI,SD FPI,Stable (%),Moderate (%),Volatile (%),High Risk (%),Stable (n),Moderate (n),Volatile (n),High Risk (n)
"Original (0.30, 0.25, 0.25, 0.20)",63.3,14.1,32.6,49.0,17.1,1.3,998,1500,524,40
"Equal (0.25, 0.25, 0.25, 0.25)",63.9,14.1,36.1,46.3,16.0,1.5,1106,1418,491,47
"Stability-dominant (0.20, 0.20, 0.40, 0.20)",63.5,16.2,41.9,35.5,19.6,2.9,1284,1088,600,90
"Bias-dominant (0.20, 0.40, 0.20, 0.20)",67.4,12.9,45.2,44.6,9.7,0.5,1383,1367,297,15
