review,analysis,k,span_years,studies_per_year,start_year,end_year
CD000028_pub4_data.rds,1::1.0,12,23.0,0.521739,1970,1993
CD000028_pub4_data.rds,1::2.0,10,13.0,0.769231,1986,1999
CD000028_pub4_data.rds,1::nan,12,29.0,0.413793,1970,1999
CD000028_pub4_data.rds,2::1.0,21,25.0,0.84,1974,1999
CD000028_pub4_data.rds,2::2.0,18,18.0,1.0,1981,1999
CD000028_pub4_data.rds,3::1.0,11,19.0,0.578947,1974,1993
CD000028_pub4_data.rds,3::2.0,9,13.0,0.692308,1986,1999
CD000028_pub4_data.rds,3::nan,14,29.0,0.482759,1970,1999
CD000028_pub4_data.rds,4::1.0,10,8.0,1.25,1985,1993
CD000028_pub4_data.rds,4::2.0,8,7.0,1.142857,1986,1993
CD000028_pub4_data.rds,4::nan,12,29.0,0.413793,1970,1999
CD000028_pub4_data.rds,5::nan,12,23.0,0.521739,1970,1993
CD000143_pub2_data.rds,1::overall,47,23.0,2.043478,1982,2005
CD000143_pub2_data.rds,2::overall,23,23.0,1.0,1982,2005
CD000143_pub2_data.rds,4::overall,5,9.0,0.555556,1991,2000
CD000219_pub5_data.rds,1::overall,27,53.0,0.509434,1968,2021
CD000219_pub5_data.rds,2::overall,11,40.0,0.275,1981,2021
CD000219_pub5_data.rds,3::overall,14,33.0,0.424242,1981,2014
CD000219_pub5_data.rds,4::overall,7,40.0,0.175,1981,2021
CD000219_pub5_data.rds,5::overall,6,40.0,0.15,1981,2021
CD000219_pub5_data.rds,6::overall,6,30.0,0.2,1981,2011
CD000478_pub5_data.rds,1::overall,32,49.0,0.653061,1974,2023
CD000478_pub5_data.rds,2::overall,6,30.0,0.2,1992,2022
CD000547_pub3_data.rds,10::overall,43,26.0,1.653846,1994,2020
CD000547_pub3_data.rds,1::overall,28,28.0,1.0,1989,2017
CD000547_pub3_data.rds,3::overall,24,32.0,0.75,1989,2021
CD000547_pub3_data.rds,4::overall,9,31.0,0.290323,1989,2020
CD000547_pub3_data.rds,5::overall,25,23.0,1.086957,1989,2012
CD000547_pub3_data.rds,6::overall,17,28.0,0.607143,1993,2021
CD000547_pub3_data.rds,7::overall,63,32.0,1.96875,1989,2021
CD000547_pub3_data.rds,8::overall,57,31.0,1.83871,1989,2020
